DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-11-15 20:46:56.659,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
398910,0.3847,0.0082,-0.0199,-0.9228,-0.2259,0.2435,0.1610,0
399077,0.3848,0.0082,-0.0200,-0.9228,-0.2436,0.2319,0.1721,0
399243,0.3849,0.0083,-0.0201,-0.9227,-0.2267,0.2461,0.1721,0
399410,0.3850,0.0083,-0.0202,-0.9226,-0.2482,0.2480,0.1624,0
399577,0.3851,0.0083,-0.0203,-0.9226,-0.2435,0.2335,0.1790,0
399743,0.3853,0.0084,-0.0204,-0.9225,-0.2397,0.2473,0.1694,0
399910,0.3854,0.0084,-0.0205,-0.9225,-0.2452,0.2324,0.1605,0
400077,0.3855,0.0084,-0.0206,-0.9224,-0.2459,0.2366,0.1800,0
400243,0.3856,0.0085,-0.0206,-0.9224,-0.2300,0.2540,0.1660,0
400410,0.3857,0.0085,-0.0207,-0.9224,-0.2477,0.2596,0.1648,0
400577,0.3858,0.0086,-0.0208,-0.9223,-0.2548,0.2603,0.1678,0
400744,0.3859,0.0086,-0.0209,-0.9223,-0.2552,0.2588,0.1673,0
400910,0.3860,0.0086,-0.0210,-0.9222,-0.2696,0.2476,0.1724,0
401077,0.3861,0.0087,-0.0211,-0.9222,-0.2465,0.2359,0.1517,0
401244,0.3863,0.0087,-0.0212,-0.9221,-0.2643,0.2582,0.1669,0
401410,0.3868,0.0022,-0.0040,-0.9221,0.0126,0.0004,0.1549,0
401577,0.3867,0.0022,-0.0040,-0.9222,0.0041,0.0038,0.1868,0
401744,0.3867,0.0021,-0.0040,-0.9222,0.0090,0.0062,0.1468,0
401910,0.3866,0.0021,-0.0040,-0.9222,-0.0092,-0.0001,0.1796,0
402077,0.3865,0.0021,-0.0040,-0.9223,-0.0063,-0.0272,0.1782,0
402244,0.3864,0.0021,-0.0040,-0.9223,-0.0125,-0.0125,0.1702,0
