DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-04-27 20:10:24.664,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1266687,0.9792,-0.0151,-0.0867,-0.1828,-0.0838,-0.0470,-0.9095,0
1266854,0.9792,-0.0150,-0.0867,-0.1828,-0.0664,-0.0500,-0.9206,0
1267021,0.9792,-0.0150,-0.0867,-0.1828,-0.0741,-0.0562,-0.9274,0
1267187,0.9792,-0.0150,-0.0868,-0.1827,-0.0798,-0.0564,-0.9208,0
1267354,0.9792,-0.0149,-0.0868,-0.1827,-0.0843,-0.0586,-0.9118,0
1267521,0.9792,-0.0149,-0.0868,-0.1827,-0.0729,-0.0603,-0.9218,0
1267687,0.9792,-0.0149,-0.0868,-0.1826,-0.0862,-0.0612,-0.9311,0
1267854,0.9792,-0.0148,-0.0869,-0.1826,-0.0704,-0.0477,-0.8954,0
1268021,0.9792,-0.0148,-0.0869,-0.1826,-0.0818,-0.0505,-0.9240,0
1268187,0.9792,-0.0148,-0.0869,-0.1825,-0.0839,-0.0566,-0.9267,0
1268354,0.9793,-0.0147,-0.0869,-0.1824,-0.0784,-0.0607,-0.9206,0
1268521,0.9793,-0.0147,-0.0870,-0.1824,-0.0760,-0.0674,-0.9390,0
1268687,0.9793,-0.0146,-0.0870,-0.1823,-0.0804,-0.0526,-0.9208,0
1268854,0.9793,-0.0146,-0.0870,-0.1823,-0.0756,-0.0661,-0.9358,0
1269021,0.9793,-0.0146,-0.0870,-0.1822,-0.0818,-0.0553,-0.9088,0
1269187,0.9793,-0.0146,-0.0871,-0.1822,-0.0752,-0.0596,-0.9376,0
1269354,0.9793,-0.0145,-0.0871,-0.1822,-0.0821,-0.0606,-0.9077,0
1269521,0.9793,-0.0145,-0.0871,-0.1821,-0.0934,-0.0635,-0.9161,0
1269687,0.9793,-0.0145,-0.0871,-0.1820,-0.0747,-0.0610,-0.9140,0
1269854,0.9793,-0.0145,-0.0872,-0.1820,-0.0781,-0.0607,-0.9342,0
1270021,0.9793,-0.0144,-0.0872,-0.1820,-0.0861,-0.0587,-0.9139,0
1270187,0.9793,-0.0144,-0.0872,-0.1820,-0.0616,-0.0598,-0.9222,0
1270354,0.9793,-0.0144,-0.0872,-0.1820,-0.0796,-0.0604,-0.9328,0
1270521,0.9793,-0.0143,-0.0873,-0.1819,-0.0716,-0.0648,-0.9212,0
1270687,0.9793,-0.0143,-0.0873,-0.1819,-0.0832,-0.0665,-0.9299,0
1270854,0.9793,-0.0143,-0.0873,-0.1818,-0.0852,-0.0707,-0.9271,0
1271021,0.9792,-0.0189,-0.0832,-0.1843,0.0041,-0.0012,-0.9160,0
1271187,0.9791,-0.0189,-0.0832,-0.1844,0.0072,-0.0121,-0.9389,0
1271354,0.9791,-0.0189,-0.0832,-0.1844,0.0009,-0.0043,-0.9298,0
