DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-04-27 20:10:24.510,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1342253,0.9910,-0.0039,-0.0789,-0.1080,0.0035,-0.0064,0.5048,0
1342419,0.9910,-0.0039,-0.0789,-0.1080,0.0050,0.0023,0.4989,0
1342586,0.9910,-0.0039,-0.0789,-0.1080,0.0009,0.0036,0.5113,0
1342753,0.9910,-0.0039,-0.0789,-0.1081,0.0029,-0.0073,0.5048,0
1342919,0.9910,-0.0039,-0.0789,-0.1081,0.0037,-0.0056,0.5136,0
1343086,0.9910,-0.0039,-0.0789,-0.1081,0.0018,-0.0060,0.5045,0
1343253,0.9910,-0.0039,-0.0789,-0.1081,-0.0016,-0.0024,0.4986,0
1343419,0.9910,-0.0039,-0.0789,-0.1081,0.0041,-0.0011,0.5040,0
1343586,0.9910,-0.0039,-0.0789,-0.1081,0.0087,0.0100,0.5013,0
1343753,0.9910,-0.0039,-0.0789,-0.1081,0.0033,-0.0012,0.4876,0
1343919,0.9910,-0.0039,-0.0789,-0.1081,-0.0027,-0.0200,0.5122,0
1344086,0.9910,-0.0039,-0.0789,-0.1081,-0.0010,-0.0025,0.5336,0
1344253,0.9910,-0.0039,-0.0789,-0.1081,0.0076,-0.0028,0.5145,0
1344419,0.9910,-0.0039,-0.0789,-0.1081,-0.0027,-0.0034,0.5162,0
1344586,0.9910,-0.0039,-0.0789,-0.1081,-0.0015,0.0057,0.5188,0
1344753,0.9910,-0.0039,-0.0789,-0.1081,-0.0014,-0.0142,0.5181,0
1344919,0.9910,-0.0039,-0.0789,-0.1081,0.0009,-0.0023,0.5071,0
1345086,0.9910,-0.0039,-0.0789,-0.1081,0.0101,0.0021,0.4919,0
1345253,0.9910,-0.0039,-0.0789,-0.1081,0.0001,0.0016,0.5080,0
1345419,0.9910,-0.0039,-0.0789,-0.1081,0.0004,-0.0093,0.5226,0
1345586,0.9910,-0.0039,-0.0789,-0.1081,-0.0091,-0.0029,0.5333,0
1345753,0.9910,-0.0039,-0.0789,-0.1081,-0.0013,0.0176,0.5215,0
1345919,0.9910,-0.0039,-0.0789,-0.1081,0.0056,0.0032,0.5155,0
1346086,0.9910,-0.0039,-0.0789,-0.1081,-0.0082,0.0046,0.5018,0
1346253,0.9910,-0.0039,-0.0789,-0.1081,0.0098,-0.0128,0.5113,0
1346419,0.9910,-0.0039,-0.0789,-0.1081,0.0032,0.0107,0.5376,0
1346586,0.9910,-0.0039,-0.0789,-0.1081,-0.0066,-0.0183,0.4884,0
1346753,0.9910,-0.0039,-0.0789,-0.1081,-0.0005,-0.0042,0.5005,0
1346919,0.9910,-0.0039,-0.0789,-0.1081,0.0053,-0.0022,0.5081,0
1347086,0.9910,-0.0039,-0.0789,-0.1081,-0.0031,-0.0031,0.5223,0
1347253,0.9910,-0.0039,-0.0789,-0.1081,0.0178,-0.0018,0.5309,0
1347419,0.9910,-0.0039,-0.0789,-0.1082,-0.0033,-0.0058,0.5341,0
1347586,0.9910,-0.0039,-0.0789,-0.1082,0.0075,-0.0096,0.5061,0
1347753,0.9910,-0.0041,-0.0790,-0.1082,-0.0137,0.0056,0.5341,0
1347919,0.9910,-0.0041,-0.0790,-0.1082,-0.0060,-0.0017,0.5268,0
1348086,0.9910,-0.0041,-0.0790,-0.1082,-0.0007,-0.0034,0.5202,0
1348253,0.9910,-0.0041,-0.0790,-0.1083,-0.0117,-0.0090,0.5207,0
1348419,0.9910,-0.0041,-0.0790,-0.1083,-0.0024,-0.0022,0.5111,0
1348586,0.9910,-0.0041,-0.0790,-0.1083,0.0095,-0.0009,0.5296,0
1348753,0.9910,-0.0041,-0.0790,-0.1083,-0.0089,0.0023,0.5103,0
1348919,0.9910,-0.0041,-0.0790,-0.1083,-0.0006,-0.0099,0.5067,0
1349086,0.9910,-0.0041,-0.0790,-0.1083,-0.0109,0.0070,0.5129,0
1349253,0.9910,-0.0041,-0.0790,-0.1083,-0.0093,0.0006,0.5123,0
1349419,0.9910,-0.0041,-0.0790,-0.1083,0.0076,0.0078,0.4865,0
1349586,0.9910,-0.0041,-0.0790,-0.1083,-0.0008,0.0132,0.5178,0
1349753,0.9910,-0.0041,-0.0790,-0.1083,-0.0021,0.0121,0.5150,0
1349919,0.9910,-0.0041,-0.0790,-0.1083,-0.0070,-0.0073,0.5194,0
1350086,0.9910,-0.0041,-0.0790,-0.1083,-0.0085,-0.0010,0.5294,0
1350253,0.9910,-0.0041,-0.0790,-0.10
