DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-12-02 18:04:02.539,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
3986846,0.8397,-0.0356,0.0105,0.5418,0.0714,-0.2632,-0.1533,0
3987013,0.8397,-0.0355,0.0105,0.5418,0.0638,-0.2563,-0.1411,0
3987179,0.8397,-0.0354,0.0105,0.5417,0.0694,-0.2618,-0.1270,0
3987346,0.8398,-0.0353,0.0104,0.5417,0.0617,-0.2711,-0.1396,0
3987513,0.8398,-0.0352,0.0104,0.5417,0.0577,-0.2597,-0.1559,0
3987679,0.8398,-0.0351,0.0103,0.5417,0.0452,-0.2701,-0.1424,0
3987846,0.8397,-0.0350,0.0103,0.5418,0.0533,-0.2723,-0.1480,0
3988013,0.8397,-0.0349,0.0103,0.5418,0.0637,-0.2759,-0.1568,0
3988179,0.8397,-0.0348,0.0102,0.5418,0.0714,-0.2745,-0.1477,0
3988346,0.8398,-0.0347,0.0102,0.5417,0.0620,-0.2824,-0.1481,0
3988513,0.8398,-0.0346,0.0102,0.5417,0.0688,-0.2769,-0.1598,0
3988679,0.8399,-0.0345,0.0101,0.5416,0.0599,-0.2888,-0.1340,0
3988846,0.8399,-0.0344,0.0101,0.5416,0.0645,-0.2842,-0.1459,0
3989013,0.8400,-0.0343,0.0101,0.5414,0.0609,-0.2899,-0.1490,0
3989179,0.8400,-0.0342,0.0100,0.5413,0.0597,-0.3069,-0.1366,0
3989346,0.8401,-0.0341,0.0100,0.5413,0.0681,-0.2965,-0.1224,0
3989513,0.8401,-0.0340,0.0100,0.5413,0.0526,-0.2995,-0.1258,0
3989679,0.8401,-0.0339,0.0100,0.5412,0.0662,-0.3088,-0.1191,0
3989846,0.8401,-0.0339,0.0099,0.5413,0.0529,-0.2958,-0.1546,0
3990013,0.8401,-0.0338,0.0099,0.5413,0.0744,-0.2973,-0.1327,0
3990179,0.8401,-0.0337,0.0099,0.5413,0.0825,-0.3127,-0.1705,0
3990346,0.8401,-0.0336,0.0098,0.5413,0.0779,-0.3054,-0.1481,0
3990513,0.8402,-0.0335,0.0098,0.5412,0.0642,-0.3131,-0.1422,0
3990679,0.8402,-0.0335,0.0098,0.5411,0.0608,-0.2945,-0.1362,0
3990846,0.8403,-0.0334,0.0098,0.5411,0.0864,-0.3123,-0.1479,0
3991013,0.8403,-0.0333,0.0097,0.5411,0.0687,-0.3207,-0.1566,0
3991179,0.8418,-0.0489,0.0155,0.5374,0.0023,-0.0084,-0.1600,0
3991346,0.8418,-0.0489,0.0155,0.5374,0.0181,-0.0127,-0.1326,0
3991513,0.8418,-0.0489,0.0155,0.5373,0.0081,-0.0018,-0.1348,0
3991679,0.8418,-0.0489,0.0155,0.5373,0.0085,-0.0093,-0.1609,0
3991846,0.8418,-0.0489,0.0155,0.5373,-0.0057,0.0120,-0.1394,0
3992013,0.8418,-0.0489,0.0156,0.5373,-0.0088,-0.0164,-0.1359,0
3992179,0.8418,-0.0489,0.0156,0.5373,-0.0072,-0.0102,-0.1595,0
3992346,0.8418,-0.0489,0.0155,0.5373,0.0097,0.0041,-0.1292,0
3992513,0.8417,-0.0489,0.0156,0.5374,-0.0007,-0.0020,-0.1574,0
3992679,0.8417,-0.0489,0.0156,0.5375,-0.0056,0.0049,-0.1347,0
3992846,0.8417,-0.0489,0.0156,0.5375,-0.0021,0.0159,-0.1303,0
3993013,0.8417,-0.0489,0.0156,0.5375,-0.0091,-0.0002,-0.1778,0
3993179,0.8417,-0.0489,0.0156,0.5375,-0.0127,0.0022,-0.1346,0
3993346,0.8417,-0.0489,0.0156,0.5375,0.0022,-0.0203,-0.1352,0
3993513,0.8417,-0.0489,0.0156,0.5376,0.0055,-0.0022,-0.1548,0
3993679,0.8416,-0.0489,0.0156,0.5376,0.0103,0.0098,-0.1407,0
3993846,0.8416,-0.0489,0.0156,0.5376,0.0075,0.0085,-0.1414,0
3994013,0.8416,-0.0489,0.0156,0.5376,-0.0013,0.0054,-0.1454,0
3994179,0.8416,-0.0489,0.0156,0.5376,-0.0246,-0.0205,-0.1656,0
3994346,0.8416,-0.0489,0.0156,0.5377,-0.0094,-0.0121,-0.1455,0
3994513,0.8416,-0.0489,0.0156,0.5377,-0.0006,0.0021,-0.1383,0
3994679,0.8415,-0.0489,0.0156,0.5377,0.0160,0.0074,-0.1203,0
3994846,0.8415,-0.0489,0.0156,0.5378,-0.0063,0.0170,-0.1646,0
3995013,0.8415,-0.0489,0.0156,0.5378,-0.0112,0.0067,-0.1359,0
3995179,0.8414,-0.0489,0.0156,0.5379,0.0047,-0.0036,-0.1311,0
3995346,0.8414,-0.0489,0.0156,0.5379,0.0071,-0.0105,-0.1464,0
3995513,0.8414,-0.0489,0.0156,0.5379,0.0037,-0.0080,-0.1556,0
3995679,0.8414,-0.0489,0.0156,0.5380,-0.0102,-0.0021,-0.1400,0
3995846,0.8414,-0.0489,0.0156,0.5380,-0.0111,0.0090,-0.1319,0
3996013,0.8414,-0.0489,0.0156,0.5380,0.0083,-0.0059,-0.1433,0
3996179,0.8414,-0.0489,0.0156,0.5380,-0.0030,0.0018,-0.1876,0
3996346,0.8413,-0.0489,0.0156,0.5381,-0.0238,-0.0004,-0.1213,0
3996513,0.8413,-0.0489,0.0156,0.5381,-0.0246,0.0085,-0.1628,0
3996679,0.8413,-0.0489,0.0156,0.5381,-0.0021,-0.0066,-0.1193,0
3996846,0.8413,-0.0489,0.0156,0.5381,0.0018,0.0002,-0.1594,0
3997013,0.8413,-0.0489,0.0156,0.5382,0.0180,-0.0047,-0.1192,0
3997179,0.8412,-0.0489,0.0156,0.5382,0.0079,-0.0035,-0.1581,0
3997346,0.8412,-0.0489,0.0156,0.5382,-0.0062,-0.0150,-0.1224,0
3997513,0.8412,-0.0489,0.0156,0.5383,-0.0231,-0.0000,-0.1732,0
3997679,0.8412,-0.0489,0.0156,0.5383,-0.0227,-0.0080,-0.1423,0
3997846,0.8412,-0.0489,0.0156,0.5383,-0.0112,-0.0051,-0.1628,0
