DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-12-02 18:04:02.724,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
153212,0.9265,-0.0432,0.0224,0.3732,-0.0877,-0.0380,-0.0115,0
153379,0.9264,-0.0432,0.0224,0.3734,-0.0941,-0.0216,-0.0649,0
153546,0.9264,-0.0432,0.0224,0.3735,-0.0570,0.0058,-0.0179,0
153712,0.9263,-0.0432,0.0223,0.3736,0.0312,-0.0018,-0.0511,0
153879,0.9263,-0.0432,0.0223,0.3737,0.0745,-0.0236,-0.0564,0
154046,0.9262,-0.0432,0.0223,0.3738,0.0426,-0.0363,-0.0399,0
154212,0.9262,-0.0432,0.0223,0.3740,-0.0139,-0.0160,-0.0382,0
154379,0.9261,-0.0432,0.0223,0.3741,-0.0737,-0.0112,-0.0403,0
154546,0.9261,-0.0433,0.0223,0.3742,-0.0691,0.0080,-0.0281,0
154712,0.9260,-0.0433,0.0223,0.3743,-0.0349,0.0090,-0.0485,0
154879,0.9260,-0.0433,0.0223,0.3744,0.0234,-0.0211,-0.0720,0
155046,0.9259,-0.0433,0.0223,0.3745,0.0449,-0.0181,-0.0386,0
155212,0.9259,-0.0433,0.0223,0.3747,0.0426,-0.0227,-0.0484,0
155379,0.9258,-0.0433,0.0223,0.3748,-0.0273,0.0040,-0.0481,0
155546,0.9258,-0.0433,0.0223,0.3749,-0.0389,-0.0182,-0.0322,0
155712,0.9257,-0.0433,0.0223,0.3750,-0.0677,0.0159,-0.0123,0
155879,0.9257,-0.0433,0.0223,0.3751,-0.0245,-0.0094,-0.0339,0
156046,0.9256,-0.0433,0.0222,0.3752,0.0135,-0.0522,-0.0528,0
156212,0.9256,-0.0434,0.0222,0.3755,0.0457,-0.1298,-0.0643,0
156379,0.9255,-0.0434,0.0222,0.3756,0.2724,0.1124,-0.0455,0
156546,0.9255,-0.0434,0.0225,0.3756,-0.1391,0.0067,-0.0278,0
156712,0.9255,-0.0434,0.0224,0.3755,-0.0130,-0.0525,-0.0205,0
156879,0.9256,-0.0434,0.0221,0.3753,0.1841,-0.0542,-0.0725,0
157046,0.9261,-0.0433,0.0215,0.3741,0.8868,0.3011,-0.0296,0
157212,0.9265,-0.0433,0.0226,0.3731,-1.3815,-0.0792,-0.1157,0
157379,0.9264,-0.0433,0.0223,0.3733,0.1701,-0.1517,-0.0037,0
157546,0.9264,-0.0433,0.0224,0.3735,-0.0550,-0.0132,0.0417,0
157712,0.9263,-0.0433,0.0225,0.3736,-0.0032,-0.0191,-0.0968,0
157879,0.9263,-0.0433,0.0224,0.3737,-0.0411,-0.0070,-0.0495,0
158046,0.9262,-0.0433,0.0224,0.3738,-0.0208,-0.0041,-0.0203,0
158212,0.9262,-0.0433,0.0224,0.3739,0.0170,0.0075,-0.0487,0
158379,0.9261,-0.0434,0.0220,0.3740,-0.0325,-0.0140,-0.0788,0
158546,0.9261,-0.0436,0.0215,0.3742,0.0352,-0.0293,0.0441,0
158712,0.9260,-0.0435,0.0212,0.3744,-0.1558,0.0009,-0.0554,0
158879,0.9259,-0.0434,0.0202,0.3748,-0.1825,-0.0691,0.0497,0
159046,0.9256,-0.0434,0.0185,0.3755,-0.3684,-0.2396,-0.0274,0
159212,0.9248,-0.0434,0.0164,0.3775,-0.6518,-0.7433,0.1597,0
159379,0.9232,-0.0430,0.0115,0.3817,0.3457,0.9266,-0.0769,0
159546,0.9201,-0.0438,0.0094,0.3891,-0.2680,1.4996,-0.3981,0
159712,0.9159,-0.0445,0.0091,0.3988,-0.1003,-0.1057,-0.1340,0
159879,0.9116,-0.0449,0.0094,0.4084,0.0191,-0.1818,-0.1363,0
160046,0.9077,-0.0452,0.0097,0.4170,0.1644,-0.3210,0.0521,0
160212,0.9044,-0.0454,0.0097,0.4242,-0.0372,-0.0813,0.0622,0
160379,0.9017,-0.0452,0.0086,0.4299,0.1641,-0.2824,0.3332,0
160546,0.8998,-0.0443,0.0057,0.4341,0.2122,-0.2649,0.5502,0
160712,0.8988,-0.0408,-0.0019,0.4364,0.0025,-0.7716,1.3131,0
160879,0.8989,-0.0348,-0.0147,0.4364,0.0169,-0.5580,0.8821,0
161046,0.8994,-0.0272,-0.0307,0.4351,-0.1863,-0.4410,0.3610,0
161212,0.8999,-0.0187,-0.0487,0.4329,-0.2232,-0.2559,0.3641,0
161379,0.9000,-0.0092,-0.0685,0.4303,-0.0116,-0.3497,0.0632,0
161546,0.8997,0.0002,-0.0877,0.4275,-0.0433,0.2653,-0.0487,0
161713,0.8988,0.0076,-0.1029,0.4261,0.4398,0.6534,-1.3936,0
161879,0.8977,0.0132,-0.1126,0.4257,0.1650,0.1932,-0.8983,0
162046,0.8967,0.0179,-0.1204,0.4257,-0.2222,0.1132,0.0095,0
162213,0.8954,0.0225,-0.1294,0.4254,-0.1755,-0.1742,0.2637,0
162379,0.8939,0.0281,-0.1398,0.4249,-0.1896,-0.1971,0.2033,0
162546,0.8921,0.0342,-0.1511,0.4245,-0.0897,-0.1357,0.1158,0
162713,0.8900,0.0406,-0.1628,0.4239,-0.1543,-0.1227,0.0026,0
162879,0.8877,0.0470,-0.1747,0.4235,-0.1343,0.0080,-0.1286,0
163046,0.8848,0.0536,-0.1870,0.4235,-0.0313,0.0925,0.0712,0
163213,0.8815,0.0601,-0.1985,0.4242,0.1520,0.3680,-0.4952,0
163379,0.8786,0.0656,-0.2080,0.4248,0.1707,-0.0866,-0.2579,0
163546,0.8761,0.0708,-0.2173,0.4245,0.1164,-0.2773,-0.0153,0
163713,0.8737,0.0760,-0.2275,0.4232,-0.0324,-0.1910,0.1592,0
163879,0.8708,0.0819,-0.2393,0.4215,-0.0129,-0.3214,0.2569,0
164046,0.8673,0.0889,-0.2533,0.4192,-0.2923,-0.4693,0.4342,0
164213,0.8626,0.0972,-0.2703,0.4165,-0.5437,-0.6177,0.5903,0
164379,0.8567,0.1067,-0.2898,0.4132,-0.4577,-0.5009,0.1860,0
164546,0.8495,0.1170,-0.3112,0.4097,-0.4607,-0.3070,0.0042,0
